conversation_id,tweet,switch,mix,label
1.4510413024898867e+18,@Arun2981 @anjanaomkashyap aur third country koi hai nahi.. jahan 100 crore population ho..,0,1,mix
9.81084208369193e+17,"@tahirrhussain @SAfridiOfficial @UN Abhi keh deta hon, Indian occupied Kashmir, ab? Jo ukhar saktey ho ukhar lo. 
I always say Indian Muslims are just garbage, they will speak more garbage than Hindus simply to keep their assess safe.",0,1,mix
1.4605603104656998e+18,"@kvilas513 @thevirdas Poocha na, boli gudh hai tu.... boli bandar jaisa apna pichvada laal karke gaya 😂😂😂",1,0,switch
9.81084208369193e+17,@SAfridiOfficial @UN Yeh baat pashtun k liye baloch k liye pok awam k liye b bolo,1,0,switch
1.4659288483950387e+18,@sudhirchaudhary My name is Narendra Modi and I’m not prime minister of India,0,0,switch
1.4605603104656998e+18,@Voice_of_aman @TheUnknownSoul4 @goenkaaditya29 @SambitM48937703 @adhicutting @thevirdas Wo isis valo ke sunte he,0,1,mix
1.4605603104656998e+18,@thevirdas ❤️de teri dukan aise hi india ko badnam karke chalegi. Kyu ki talent k name par muh se hagna hi to janta h tu.,0,1,mix
6.351324009729065e+17,@ravishndtv ab PM ko criticis karo,0,1,mix
1.5087666518350602e+18,@ArvindKejriwal Sab bakwas hai.,1,0,switch
1.4605603104656998e+18,@thevirdas Virya n nikla hota to ......,1,0,switch
